Категория,Название,Полное название,Ссылка
Лечение некотиновой зависимости,Никуриллы,"Никуриллы таблетки покрытые плёночной оболочкой 1,5мг №100",https://аптека-омск.рф/lek/nikurilly-00015-n100-tabl-pplenoboloch
Лечение некотиновой зависимости,Никоретте,"Никоретте спрей для слизистой оболочки полости рта дозированный мятный 1мг/доза 13,2мл 150доз №1",https://аптека-омск.рф/lek/nikorette-sprey-dlya-slizistoy-obolochki-polosti-rta-dozirovannyy-1-mgdoza-132-ml-150doz
Лечение некотиновой зависимости,Никоретте,"Никоретте спрей для слизистой оболочки полости рта дозированный фруктово-мятный 1мг/доза 13,2мл 150доз №1",https://аптека-омск.рф/lek/nikorette-sprey-dlya-slizistoy-obolochki-polosti-rta-dozirovannyy-1-mgdoza-132-ml-150doz-0
Лечение некотиновой зависимости,Никоретте пластырь трансдермальный,Никоретте пластырь трансдермальный 25мг/16ч саше №7,https://аптека-омск.рф/lek/nikorette-plastyr-transdermalnyy-25mg16ch-no7
Лечение некотиновой зависимости,Никоретте пластырь,Никоретте пластырь трансдермальный 15мг/16ч саше №7,https://аптека-омск.рф/lek/nikorette-transderm-terapevt-sist-plastyr-15mg16ch-sashe-no7
Лечение некотиновой зависимости,Никоретте пластырь,Никоретте пластырь трансдермальный 10мг/16ч саше №7,https://аптека-омск.рф/lek/nikorette-plastyr-transdermalnyy-10mg16ch-nikotin-no7
Лечение некотиновой зависимости,Никоретте пластырь трансдермальный,Никоретте пластырь трансдермальный 15мг/16ч саше №7,https://аптека-омск.рф/lek/nikorette-plastyr-transdermalnyy-15mg16ch-no7
Лечение некотиновой зависимости,спрей для слизистой оболочки полости рта,"Никоретте спрей для слизистой оболочки полости рта дозированный фруктово-мятный 1мг/доза 13,2мл 150доз №2",https://аптека-омск.рф/lek/nikorette-sprey-dlya-slizistoy-obolochki-polosti-rta-dozirovannyy-1-mgdoza-132-ml-150-doz-no-0
Лечение некотиновой зависимости,спрей для слизистой оболочки полости рта,"Никоретте спрей для слизистой оболочки полости рта дозированный мятный 1мг/доза 13,2мл 150доз №2",https://аптека-омск.рф/lek/nikorette-sprey-dlya-slizistoy-obolochki-polosti-rta-dozirovannyy-1-mgdoza-132-ml-150-doz-no-2
Нервная система,Ацетилсалициловая кислота,Ацетилсалициловая кислота таблетки 500мг №10 (отпуск 250шт),https://аптека-омск.рф/lek/acetilsalicilovaya-k-ta-tab-500mg-no10-otpusk-250sht
Нервная система,Парацетамол,Парацетамол таблетки 500мг №10 (отпуск 50шт),https://аптека-омск.рф/lek/paracetamol-tab-500mg-no10-otpusk-50sht
Нервная система,Парацетамол,Парацетамол таблетки 500мг №10 (отпуск 50шт),https://аптека-омск.рф/lek/paracetamol-tab-500mg-no10-otpusk-50sht-0
Нервная система,Пустырника экстракт,Пустырника экстракт таблетки 14мг №10 /Фармстандарт/,https://аптека-омск.рф/lek/pustyrnika-ekstrakt-0014-n10-tabl-farmstandart
Нервная система,Парацетамол,Парацетамол таблетки 200мг №10,https://аптека-омск.рф/lek/paracetamol-tab-200mg-no10
Нервная система,Ацетилсалициловая кислота,Ацетилсалициловая кислота-УБФ таблетки 500мг №20,https://аптека-омск.рф/lek/acetilsalicilovaya-k-ta-ubf-tab-500mg-no20-iu
Нервная система,Анальгин таблетки,Анальгин таблетки 500мг №10 (отпуск 10шт),https://аптека-омск.рф/lek/analgin-tab-500mg-no10-otpusk-10sht
Нервная система,Пустырника экстракт,Пустырника экстракт таблетки 14мг №10 (отпуск 10шт),https://аптека-омск.рф/lek/pustyrnika-ekstrakt-tab-14mg-no10-otpusk-10sht
Нервная система,Пустырника настойка,Пустырника настойка 25мл  (отпуск 10шт),https://аптека-омск.рф/lek/pustyrneka25ml-fl-tst-iuotpusk-10sht
Нервная система,Пустырника экстракт,Пустырника экстракт таблетки 14мг №10,https://аптека-омск.рф/lek/pustyrnika-ekstrakt-14mg-tab-no10
Нервная система,Цитрамон,Цитрамон П таблетки №10,https://аптека-омск.рф/lek/citramon-p-tab-no10
Нервная система,Ацетилсалициловая кислота,"Ацетилсалициловая кислота Медисорб таблетки 0,5г №20",https://аптека-омск.рф/lek/acetilsalicilovaya-kislota-medisorb-05-n20-tabl
Нервная система,Цитрамон,Цитрамон П таблетки №10 (отпуск 250шт),https://аптека-омск.рф/lek/citramon-p-tab-240mg30mg180mg-no10-otpusk-250sht
Нервная система,Кофицил,Кофицил-Плюс таблетки №10,https://аптека-омск.рф/lek/koficil-plyus-tabletki-no10
Нервная система,Андипал,Андипал таблетки №10 (отпуск 10шт),https://аптека-омск.рф/lek/andipal-tab-no10-otpusk-10sht
Нервная система,Ацетилсалициловая кислота,Ацетилсалициловая кислота таблетки 500мг №20  (отпуск 108шт),https://аптека-омск.рф/lek/acetilsalicilovaya-k-ta-tab-500mg-no20-iu-otpusk-108sht
